# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Apr 21 18:04:58 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.001 -1.19029 9.77815 0.0900000036 1.0816895962    0.090 -3.215  3.4562  5.384    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.19e-17      0.00 7.479e-01 2.511e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 9.999e-04 12.808 18.027 16.773 14.909 12.874 12.195 12.066
0.001 -1.19029 9.77815 0.0992808715 1.1650710106    0.099 -2.977  3.4902  5.325    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.15e-17      0.00 7.472e-01 2.518e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.213 17.305 15.409 13.606 12.150 11.634 11.512
0.001 -1.19029 9.77815 0.1000000015 1.1711064577    0.100 -2.960  3.4927  5.320    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.54e-17      0.00 7.472e-01 2.518e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.170 17.241 15.314 13.520 12.099 11.593 11.472
0.001 -1.19029 9.77815 0.1115250364 1.2607489824    0.111 -2.790  3.5123  5.276    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-16      0.00 7.465e-01 2.525e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.745 16.620 14.498 12.775 11.625 11.190 11.074
0.001 -1.19029 9.77815 0.1199999973 1.3193154335    0.120 -2.676  3.5254  5.247    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-16      0.00 7.460e-01 2.530e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.461 16.155 13.973 12.307 11.312 10.918 10.806
0.001 -1.19029 9.77815 0.1400000006 1.4384527206    0.140 -2.496  3.5417  5.199    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.7e-16      0.00 7.452e-01 2.538e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 9.999e-04 11.009 15.441 13.254 11.668 10.832 10.482 10.374
0.001 -1.19029 9.77815 0.1599999964 1.5372931957    0.160 -2.359  3.5521  5.162    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.61e-16      0.00 7.444e-01 2.546e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.668 14.917 12.756 11.222 10.476 10.149 10.045
0.001 -1.19029 9.77815 0.2000000179 1.6938792467    0.200 -2.146  3.5663  5.103    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.64e-16      0.00 7.434e-01 2.556e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 9.999e-04 10.136 14.121 12.025 10.566 9.928 9.631 9.532
0.001 -1.19029 9.77815 0.2500000000 1.8403258324    0.250 -1.943  3.5777  5.042    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.61e-16      0.00 7.428e-01 2.562e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.629 13.405 11.372 9.978 9.410 9.134 9.041
0.001 -1.19029 9.77815 0.3000000417 1.9529141188    0.300 -1.783  3.5862  4.995    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-15      0.00 7.427e-01 2.563e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.227 12.846 10.868 9.527 9.003 8.741 8.651
