# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Apr 21 17:48:40 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.0001 -2.19174 9.30103 0.1000000015 1.1711064577    0.100 -2.790  3.5572  5.409    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-16      0.00 7.500e-01 2.499e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.746 15.973 13.694 12.130 11.475 11.176 11.077
0.0001 -2.19174 9.30103 0.1011771038 1.1808645725    0.101 -2.772  3.5591  5.403    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-16      0.00 7.500e-01 2.499e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 11.699 15.884 13.620 12.070 11.430 11.134 11.036
0.0001 -2.19174 9.30103 0.1098214313 1.2482755184    0.109 -2.641  3.5726  5.360    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-16      0.00 7.498e-01 2.501e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.374 15.238 13.107 11.664 11.111 10.836 10.742
0.0001 -2.19174 9.30103 0.1128091589 1.2699884176    0.112 -2.602  3.5763  5.348    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.99e-16      0.00 7.497e-01 2.502e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.276 15.055 12.962 11.549 11.015 10.745 10.652
0.0001 -2.19174 9.30103 0.1294642836 1.3786746264    0.129 -2.402  3.5952  5.284    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.16e-16      0.00 7.492e-01 2.507e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.776 14.118 12.230 10.979 10.517 10.275 10.191
0.0001 -2.19174 9.30103 0.1491071582 1.4855960608    0.149 -2.248  3.6065  5.236    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.44e-16      0.00 7.488e-01 2.511e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 10.389 13.491 11.718 10.558 10.129 9.903 9.825
0.0001 -2.19174 9.30103 0.1687500030 1.5756140947    0.168 -2.130  3.6140  5.201    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.7e-16      0.00 7.485e-01 2.514e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 10.096 13.050 11.347 10.243 9.834 9.619 9.545
0.0001 -2.19174 9.30103 0.2080357224 1.7204496861    0.207 -1.938  3.6252  5.145    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.52e-16      0.00 7.480e-01 2.519e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.615 12.355 10.756 9.731 9.349 9.151 9.083
0.0001 -2.19174 9.30103 0.2571428716 1.8581268787    0.257 -1.749  3.6354  5.089    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-15      0.00 7.476e-01 2.523e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 9.141 11.697 10.188 9.230 8.872 8.689 8.626
0.0001 -2.19174 9.30103 0.3062500358 1.9652637243    0.306 -1.595  3.6436  5.045    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-15      0.00 7.475e-01 2.524e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.001e-04 8.757 11.172 9.733 8.824 8.485 8.313 8.255
