# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Apr 21 17:51:08 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.0001 -2.19174 9.84510 0.1000000015 1.1711064577    0.100 -2.785  3.5580  5.407    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-16      0.00 7.477e-01 2.522e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 11.734 15.943 13.670 12.112 11.463 11.166 11.067
0.0001 -2.19174 9.84510 0.1098214313 1.2482755184    0.109 -2.637  3.5733  5.359    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-16      0.00 7.467e-01 2.532e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 11.362 15.209 13.086 11.648 11.099 10.826 10.731
0.0001 -2.19174 9.84510 0.1294642836 1.3786746264    0.129 -2.397  3.5959  5.281    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.21e-16      0.00 7.448e-01 2.551e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.762 14.089 12.208 10.963 10.503 10.262 10.178
0.0001 -2.19174 9.84510 0.1491071582 1.4855960608    0.149 -2.238  3.6072  5.230    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.57e-16      0.00 7.435e-01 2.564e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.366 13.453 11.687 10.532 10.105 9.881 9.803
0.0001 -2.19174 9.84510 0.1687500030 1.5756140947    0.168 -2.115  3.6146  5.189    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.99e-16      0.00 7.427e-01 2.572e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 10.057 12.997 11.302 10.203 9.795 9.582 9.508
0.0001 -2.19174 9.84510 0.2080357224 1.7204496861    0.207 -1.912  3.6257  5.121    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.3e-16      0.00 7.420e-01 2.579e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.549 12.278 10.685 9.664 9.284 9.086 9.018
0.0001 -2.19174 9.84510 0.2571428716 1.8581268787    0.257 -1.719  3.6358  5.061    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-15      0.00 7.420e-01 2.579e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.068 11.615 10.111 9.156 8.799 8.616 8.553
0.0001 -2.19174 9.84510 0.3062500358 1.9652637243    0.306 -1.569  3.6440  5.021    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.89e-15      0.00 7.421e-01 2.578e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 8.693 11.100 9.666 8.760 8.422 8.250 8.192
0.0001 -2.19174 9.84510 0.3553571403 2.0521113873    0.355 -1.445  3.6517  4.992    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-15      0.00 7.430e-01 2.569e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 9.999e-05 8.383 10.665 9.294 8.431 8.109 7.948 7.895
0.0001 -2.19174 9.84510 0.4044643044 2.1246092319    0.404 -1.331  3.6598  4.967    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-15      0.00 7.503e-01 2.496e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 8.097 10.252 8.947 8.126 7.822 7.672 7.622
0.0001 -2.19174 9.84510 0.4535714388 2.1864814758    0.453 -1.192  3.6722  4.927    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.13e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 7.749 9.712 8.513 7.755 7.475 7.341 7.299
0.0001 -2.19174 9.84510 0.5026785731 2.2401986122    0.503 -1.038  3.6859  4.873    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.94e-15      0.00 7.518e-01 2.481e-01 1.791e-05 4.832e-06 4.383e-05 -1.000 9.990e-05 7.366 9.132 8.043 7.350 7.097 6.981 6.945
0.0001 -2.19174 9.84510 0.5517857671 2.2851314545    0.551 -0.861  3.7032  4.805    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.22e-15      0.00 7.708e-01 2.291e-01 1.663e-05 4.487e-06 4.071e-05 -1.000 9.936e-05 6.922 8.459 7.504 6.888 6.668 6.573 6.546
0.0001 -2.19174 9.84510 0.6008928418 2.3217256069    0.601 -0.679  3.7248  4.747    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-14      0.00 7.784e-01 2.216e-01 1.613e-05 4.356e-06 3.952e-05 -1.000 6.041e-05 6.468 7.759 6.951 6.423 6.242 6.172 6.156
0.0001 -2.19174 9.84510 0.6129957438 2.3297152519    0.613 -0.633  3.7310  4.734    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-14      0.00 7.807e-01 2.192e-01 1.598e-05 4.315e-06 3.915e-05 -1.000 2.666e-05 6.353 7.582 6.811 6.307 6.137 6.074 6.060
0.0001 -2.19174 9.84510 0.6320336461 2.3415739536    0.632 -0.561  3.7406  4.714    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-14      0.00 7.847e-01 2.152e-01 1.572e-05 4.245e-06 3.853e-05 -1.000 9.993e-05 6.173 7.315 6.596 6.128 5.973 5.921 5.912
