# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Apr 21 17:51:35 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.0001 -2.19174 9.90309 0.1000000015 1.1711064577    0.100 -2.784  3.5581  5.407    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-16      0.00 7.472e-01 2.527e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.731 15.937 13.665 12.108 11.461 11.163 11.065
0.0001 -2.19174 9.90309 0.1098214313 1.2482755184    0.109 -2.636  3.5735  5.358    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-16      0.00 7.460e-01 2.539e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.359 15.204 13.082 11.645 11.097 10.823 10.729
0.0001 -2.19174 9.90309 0.1294642836 1.3786746264    0.129 -2.396  3.5960  5.280    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.22e-16      0.00 7.439e-01 2.560e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.759 14.083 12.203 10.959 10.500 10.259 10.175
0.0001 -2.19174 9.90309 0.1491071582 1.4855960608    0.149 -2.236  3.6074  5.228    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.6e-16      0.00 7.425e-01 2.574e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.360 13.445 11.680 10.526 10.099 9.876 9.797
0.0001 -2.19174 9.90309 0.1687500030 1.5756140947    0.168 -2.112  3.6147  5.186    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.05e-16      0.00 7.417e-01 2.582e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.049 12.987 11.293 10.195 9.787 9.574 9.500
0.0001 -2.19174 9.90309 0.2080357224 1.7204496861    0.207 -1.908  3.6258  5.118    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.42e-16      0.00 7.410e-01 2.589e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 9.540 12.266 10.675 9.655 9.275 9.077 9.009
0.0001 -2.19174 9.90309 0.2571428716 1.8581268787    0.257 -1.716  3.6359  5.059    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-15      0.00 7.411e-01 2.588e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 9.060 11.606 10.103 9.148 8.792 8.609 8.546
0.0001 -2.19174 9.90309 0.3062500358 1.9652637243    0.306 -1.567  3.6442  5.019    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-15      0.00 7.412e-01 2.587e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 9.996e-05 8.689 11.094 9.660 8.755 8.417 8.246 8.188
0.0001 -2.19174 9.90309 0.3553571403 2.0521113873    0.355 -1.444  3.6519  4.992    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-15      0.00 7.422e-01 2.577e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 8.380 10.660 9.290 8.427 8.106 7.945 7.892
0.0001 -2.19174 9.90309 0.4044643044 2.1246092319    0.404 -1.328  3.6600  4.965    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.06e-15      0.00 7.503e-01 2.496e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.994e-05 8.091 10.243 8.940 8.120 7.816 7.666 7.617
0.0001 -2.19174 9.90309 0.4058484435 2.1264846325    0.405 -1.324  3.6604  4.964    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.08e-15      0.00 7.503e-01 2.496e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.994e-05 8.081 10.226 8.926 8.109 7.805 7.656 7.607
