# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Apr 21 18:04:18 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.001 -1.19029 9.84510 0.0900000036 1.0816895962    0.090 -3.215  3.4563  5.384    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.2e-17      0.00 7.477e-01 2.513e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.806 18.026 16.769 14.904 12.872 12.194 12.065
0.001 -1.19029 9.84510 0.0990768448 1.1633484364    0.099 -2.982  3.4896  5.326    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.05e-17      0.00 7.469e-01 2.521e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.224 17.321 15.434 13.629 12.163 11.644 11.523
0.001 -1.19029 9.84510 0.1000000015 1.1711064577    0.100 -2.959  3.4928  5.320    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.55e-17      0.00 7.468e-01 2.522e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.168 17.239 15.311 13.517 12.098 11.591 11.471
0.001 -1.19029 9.84510 0.1100216806 1.2497546673    0.110 -2.811  3.5099  5.282    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-16      0.00 7.462e-01 2.528e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.797 16.702 14.594 12.861 11.681 11.239 11.122
0.001 -1.19029 9.84510 0.1199999973 1.3193154335    0.120 -2.676  3.5255  5.247    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-16      0.00 7.455e-01 2.535e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.459 16.153 13.970 12.305 11.310 10.917 10.804
0.001 -1.19029 9.84510 0.1400000006 1.4384527206    0.140 -2.495  3.5418  5.198    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.71e-16      0.00 7.445e-01 2.545e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.008 15.438 13.251 11.665 10.831 10.480 10.373
0.001 -1.19029 9.84510 0.1599999964 1.5372931957    0.160 -2.358  3.5522  5.161    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.62e-16      0.00 7.436e-01 2.554e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 9.999e-04 10.665 14.912 12.752 11.218 10.473 10.146 10.043
0.001 -1.19029 9.84510 0.2000000179 1.6938792467    0.200 -2.143  3.5664  5.100    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.69e-16      0.00 7.425e-01 2.565e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.128 14.111 12.016 10.558 9.920 9.623 9.525
0.001 -1.19029 9.84510 0.2500000000 1.8403258324    0.250 -1.940  3.5778  5.039    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.73e-16      0.00 7.420e-01 2.570e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.619 13.394 11.361 9.968 9.401 9.125 9.031
0.001 -1.19029 9.84510 0.3000000417 1.9529141188    0.300 -1.779  3.5862  4.991    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-15      0.00 7.419e-01 2.571e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.219 12.836 10.859 9.519 8.994 8.733 8.643
