# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Apr 21 18:03:53 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.001 -1.19029 9.90309 0.0900000036 1.0816895962    0.090 -3.214  3.4564  5.384    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.21e-17      0.00 7.475e-01 2.515e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 9.999e-04 12.805 18.024 16.764 14.900 12.870 12.192 12.063
0.001 -1.19029 9.90309 0.0988655165 1.1615592241    0.099 -2.986  3.4889  5.327    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.96e-17      0.00 7.466e-01 2.524e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.236 17.336 15.459 13.653 12.177 11.655 11.533
0.001 -1.19029 9.90309 0.1000000015 1.1711064577    0.100 -2.959  3.4929  5.320    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.57e-17      0.00 7.465e-01 2.525e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.167 17.237 15.308 13.513 12.096 11.590 11.469
0.001 -1.19029 9.90309 0.1083661094 1.2374190092    0.108 -2.834  3.5073  5.288    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-16      0.00 7.459e-01 2.531e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.854 16.787 14.703 12.961 11.745 11.293 11.176
0.001 -1.19029 9.90309 0.1199999973 1.3193154335    0.120 -2.675  3.5256  5.247    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-16      0.00 7.450e-01 2.540e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.458 16.150 13.967 12.302 11.309 10.916 10.803
0.001 -1.19029 9.90309 0.1400000006 1.4384527206    0.140 -2.494  3.5419  5.198    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.71e-16      0.00 7.438e-01 2.552e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.006 15.434 13.248 11.662 10.829 10.478 10.371
0.001 -1.19029 9.90309 0.1599999964 1.5372931957    0.160 -2.357  3.5523  5.160    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.64e-16      0.00 7.429e-01 2.561e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.662 14.907 12.747 11.214 10.470 10.143 10.040
0.001 -1.19029 9.90309 0.2000000179 1.6938792467    0.200 -2.140  3.5665  5.097    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.75e-16      0.00 7.417e-01 2.573e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.121 14.102 12.007 10.550 9.913 9.616 9.518
0.001 -1.19029 9.90309 0.2500000000 1.8403258324    0.250 -1.936  3.5778  5.035    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.85e-16      0.00 7.412e-01 2.578e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.609 13.383 11.351 9.958 9.391 9.115 9.022
0.001 -1.19029 9.90309 0.3000000417 1.9529141188    0.300 -1.776  3.5863  4.988    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-15      0.00 7.412e-01 2.578e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 9.999e-04 9.211 12.827 10.850 9.510 8.986 8.725 8.635
