# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Apr 21 18:07:15 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.001 -1.19029 9.00000 0.0900000036 1.0816895962    0.090 -3.185  3.4600  5.369    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.7e-17      0.00 7.488e-01 2.502e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.733 17.947 16.604 14.741 12.782 12.124 11.996
0.001 -1.19029 9.00000 0.0970839038 1.1462750435    0.097 -3.028  3.4826  5.335    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.18e-17      0.00 7.487e-01 2.503e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.340 17.476 15.704 13.883 12.302 11.752 11.629
0.001 -1.19029 9.00000 0.0985370651 1.1587685347    0.099 -2.996  3.4873  5.329    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.8e-17      0.00 7.487e-01 2.503e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.260 17.369 15.519 13.709 12.206 11.677 11.555
0.001 -1.19029 9.00000 0.1000000015 1.1711064577    0.100 -2.961  3.4923  5.320    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.57e-17      0.00 7.487e-01 2.503e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.172 17.246 15.323 13.527 12.102 11.594 11.474
0.001 -1.19029 9.00000 0.1077164337 1.2325111628    0.108 -2.846  3.5056  5.291    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-16      0.00 7.486e-01 2.504e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.886 16.837 14.768 13.020 11.781 11.323 11.205
0.001 -1.19029 9.00000 0.1199999973 1.3193154335    0.120 -2.679  3.5250  5.248    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-16      0.00 7.486e-01 2.504e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.466 16.168 13.987 12.319 11.319 10.924 10.811
0.001 -1.19029 9.00000 0.1400000006 1.4384527206    0.140 -2.499  3.5413  5.200    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-16      0.00 7.484e-01 2.506e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.017 15.457 13.269 11.680 10.840 10.489 10.381
0.001 -1.19029 9.00000 0.1599999964 1.5372931957    0.160 -2.363  3.5516  5.164    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.57e-16      0.00 7.483e-01 2.507e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.679 14.937 12.774 11.238 10.487 10.160 10.056
0.001 -1.19029 9.00000 0.2000000179 1.6938792467    0.200 -2.158  3.5658  5.112    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.44e-16      0.00 7.481e-01 2.509e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.165 14.162 12.061 10.600 9.957 9.659 9.561
0.001 -1.19029 9.00000 0.2174915671 1.7500571012    0.217 -2.086  3.5702  5.094    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.27e-16      0.00 7.480e-01 2.510e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.986 13.901 11.824 10.386 9.774 9.484 9.388
0.001 -1.19029 9.00000 0.2500000000 1.8403258324    0.250 -1.967  3.5774  5.065    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.96e-16      0.00 7.479e-01 2.511e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.688 13.474 11.436 10.040 9.469 9.192 9.099
0.001 -1.19029 9.00000 0.3000000417 1.9529141188    0.300 -1.816  3.5861  5.027    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-15      0.00 7.478e-01 2.512e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.310 12.935 10.953 9.610 9.084 8.822 8.733
0.001 -1.19029 9.00000 0.3499999940 2.0434174538    0.350 -1.664  3.5931  4.970    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-15      0.00 7.489e-01 2.501e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 8.929 12.426 10.491 9.194 8.699 8.449 8.362
0.001 -1.19029 9.00000 0.4000000060 2.1185026169    0.400 -1.520  3.6034  4.926    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.06e-15      0.00 7.489e-01 2.501e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 8.571 11.897 10.020 8.790 8.333 8.099 8.018
0.001 -1.19029 9.00000 0.4500000179 2.1822810173    0.450 -1.356  3.6187  4.874    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.01e-15      0.00 7.489e-01 2.501e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 8.160 11.249 9.450 8.321 7.913 7.703 7.629
0.001 -1.19029 9.00000 0.5000000000 2.2374541759    0.500 -1.171  3.6431  4.832    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.6e-15      0.00 7.489e-01 2.501e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 7.696 10.429 8.747 7.777 7.442 7.269 7.207
0.001 -1.19029 9.00000 0.5464481711 2.2806956768    0.546 -0.997  3.6695  4.803    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.78e-15      0.00 7.517e-01 2.473e-01 1.779e-04 4.801e-05 4.355e-04 -1.000 1.000e-03 7.263 9.583 8.072 7.269 7.004 6.871 6.822
0.001 -1.19029 9.00000 0.5500000715 2.2836585045    0.550 -0.985  3.6714  4.800    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.97e-15      0.00 7.519e-01 2.471e-01 1.778e-04 4.797e-05 4.351e-04 -1.000 1.000e-03 7.232 9.518 8.024 7.233 6.972 6.842 6.794
0.001 -1.19029 9.00000 0.6000000238 2.3211214542    0.600 -0.813  3.6956  4.764    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-14      0.00 7.528e-01 2.462e-01 1.772e-04 4.783e-05 4.338e-04 -1.000 1.000e-03 6.803 8.686 7.417 6.757 6.544 6.447 6.412
0.001 -1.19029 9.00000 0.6356211901 2.3437170982    0.636 -0.695  3.7133  4.741    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-14      0.00 7.534e-01 2.456e-01 1.768e-04 4.771e-05 4.327e-04 -1.000 9.970e-04 6.507 8.129 7.021 6.439 6.257 6.180 6.156
0.001 -1.19029 9.00000 0.6499999762 2.3520355225    0.650 -0.649  3.7203  4.733    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-14      0.00 7.538e-01 2.452e-01 1.766e-04 4.766e-05 4.323e-04 -1.000 1.000e-03 6.393 7.920 6.872 6.319 6.148 6.080 6.059
0.001 -1.19029 9.00000 0.6999999881 2.3779268265    0.700 -0.495  3.7447  4.708    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-14      0.00 7.550e-01 2.441e-01 1.758e-04 4.745e-05 4.304e-04 -1.000 9.000e-04 6.006 7.256 6.391 5.927 5.792 5.750 5.741
0.001 -1.19029 9.00000 0.7500000000 2.3998889923    0.750 -0.351  3.7673  4.685    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-14      0.00 7.566e-01 2.424e-01 1.725e-04 4.712e-05 4.281e-04 -1.000 9.459e-04 5.646 6.684 5.959 5.580 5.480 5.462 5.463
0.001 -1.19029 9.00000 0.7819350958 2.4122385979    0.782 -0.264  3.7782  4.659    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.62e-14      0.00 7.586e-01 2.405e-01 1.713e-04 4.680e-05 4.252e-04 -1.000 9.207e-04 5.429 6.381 5.714 5.374 5.290 5.283 5.288
0.001 -1.19029 9.00000 0.8000000119 2.4187245369    0.800 -0.216  3.7842  4.646    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.06e-14      0.00 7.598e-01 2.393e-01 1.706e-04 4.659e-05 4.234e-04 -1.000 9.133e-04 5.310 6.222 5.581 5.262 5.187 5.186 5.193
0.001 -1.19029 9.00000 0.8500000238 2.4350347519    0.850 -0.088  3.7991  4.603    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.55e-14      0.00 7.649e-01 2.342e-01 1.676e-04 4.579e-05 4.162e-04 -1.000 9.643e-04 4.989 5.816 5.228 4.961 4.909 4.921 4.934
0.001 -1.19029 9.00000 0.8938041925 2.4476130009    0.893  0.019  3.8115  4.568    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.22e-14      0.00 7.642e-01 2.349e-01 1.686e-04 4.609e-05 4.190e-04 -1.000 9.121e-04 4.722 5.491 4.934 4.709 4.675 4.700 4.716
0.001 -1.19029 9.00000 0.8999999762 2.4492788315    0.899  0.034  3.8132  4.563    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.49e-14      0.00 7.641e-01 2.350e-01 1.688e-04 4.614e-05 4.195e-04 -1.000 9.000e-04 4.685 5.448 4.893 4.674 4.643 4.669 4.686
0.001 -1.19029 9.00000 0.9480951428 2.4613626003    0.947  0.145  3.8264  4.527    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.81e-14      0.00 7.645e-01 2.346e-01 1.686e-04 4.610e-05 4.191e-04 -1.000 9.561e-04 4.407 5.123 4.588 4.409 4.399 4.437 4.458
