# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Apr 21 17:49:08 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.0001 -2.19174 9.47712 0.1000000015 1.1711064577    0.100 -2.789  3.5573  5.409    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-16      0.00 7.496e-01 2.503e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.744 15.967 13.689 12.127 11.473 11.174 11.075
0.0001 -2.19174 9.47712 0.1098214313 1.2482755184    0.109 -2.641  3.5727  5.360    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-16      0.00 7.491e-01 2.508e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 11.371 15.233 13.103 11.661 11.109 10.834 10.740
0.0001 -2.19174 9.47712 0.1294642836 1.3786746264    0.129 -2.401  3.5953  5.283    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.17e-16      0.00 7.483e-01 2.516e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.774 14.113 12.226 10.976 10.515 10.273 10.189
0.0001 -2.19174 9.47712 0.1491071582 1.4855960608    0.149 -2.246  3.6067  5.235    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.46e-16      0.00 7.477e-01 2.522e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 10.385 13.485 11.712 10.553 10.125 9.900 9.822
0.0001 -2.19174 9.47712 0.1687500030 1.5756140947    0.168 -2.128  3.6141  5.199    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.75e-16      0.00 7.473e-01 2.526e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.089 13.040 11.339 10.236 9.827 9.613 9.538
0.0001 -2.19174 9.47712 0.2080357224 1.7204496861    0.207 -1.932  3.6253  5.140    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.69e-16      0.00 7.466e-01 2.533e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 9.600 12.338 10.740 9.716 9.334 9.136 9.068
0.0001 -2.19174 9.47712 0.2571428716 1.8581268787    0.257 -1.739  3.6355  5.081    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-15      0.00 7.463e-01 2.536e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 9.118 11.673 10.165 9.207 8.850 8.666 8.603
0.0001 -2.19174 9.47712 0.3062500358 1.9652637243    0.306 -1.585  3.6437  5.035    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-15      0.00 7.463e-01 2.536e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 8.733 11.147 9.709 8.801 8.462 8.290 8.232
0.0001 -2.19174 9.47712 0.3553571403 2.0521113873    0.355 -1.456  3.6512  5.002    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-15      0.00 7.468e-01 2.531e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 8.411 10.702 9.326 8.460 8.137 7.976 7.922
0.0001 -2.19174 9.47712 0.4044643044 2.1246092319    0.404 -1.343  3.6590  4.975    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.92e-15      0.00 7.506e-01 2.493e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 8.127 10.295 8.983 8.158 7.852 7.701 7.651
