# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Apr 21 17:50:41 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.0001 -2.19174 9.77815 0.1000000015 1.1711064577    0.100 -2.786  3.5578  5.408    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-16      0.00 7.481e-01 2.518e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.001e-04 11.736 15.949 13.675 12.116 11.466 11.168 11.069
0.0001 -2.19174 9.77815 0.1098214313 1.2482755184    0.109 -2.638  3.5732  5.359    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-16      0.00 7.473e-01 2.526e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 11.364 15.215 13.090 11.652 11.102 10.828 10.734
0.0001 -2.19174 9.77815 0.1294642836 1.3786746264    0.129 -2.398  3.5957  5.282    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.2e-16      0.00 7.456e-01 2.543e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.765 14.095 12.213 10.966 10.506 10.265 10.181
0.0001 -2.19174 9.77815 0.1491071582 1.4855960608    0.149 -2.241  3.6071  5.231    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.54e-16      0.00 7.445e-01 2.554e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.001e-04 10.371 13.462 11.694 10.538 10.111 9.886 9.808
0.0001 -2.19174 9.77815 0.1687500030 1.5756140947    0.168 -2.118  3.6145  5.192    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.93e-16      0.00 7.438e-01 2.561e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.066 13.008 11.312 10.212 9.804 9.590 9.516
0.0001 -2.19174 9.77815 0.2080357224 1.7204496861    0.207 -1.916  3.6256  5.125    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.16e-16      0.00 7.431e-01 2.568e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 9.560 12.291 10.697 9.676 9.295 9.097 9.029
0.0001 -2.19174 9.77815 0.2571428716 1.8581268787    0.257 -1.723  3.6357  5.064    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-15      0.00 7.430e-01 2.569e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 9.076 11.626 10.121 9.165 8.808 8.625 8.562
0.0001 -2.19174 9.77815 0.3062500358 1.9652637243    0.306 -1.572  3.6439  5.023    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-15      0.00 7.431e-01 2.568e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 8.699 11.108 9.673 8.766 8.428 8.256 8.198
0.0001 -2.19174 9.77815 0.3553571403 2.0521113873    0.355 -1.447  3.6516  4.993    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-15      0.00 7.439e-01 2.560e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.387 10.672 9.299 8.435 8.113 7.952 7.898
0.0001 -2.19174 9.77815 0.4044643044 2.1246092319    0.404 -1.333  3.6596  4.968    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.01e-15      0.00 7.504e-01 2.495e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.997e-05 8.103 10.262 8.955 8.133 7.828 7.678 7.628
