# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Apr 21 18:03:27 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.001 -1.19029 9.95424 0.0900000036 1.0816895962    0.090 -3.213  3.4565  5.384    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.22e-17      0.00 7.473e-01 2.517e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.803 18.022 16.760 14.896 12.868 12.191 12.062
0.001 -1.19029 9.95424 0.0986458510 1.1596941948    0.099 -2.991  3.4882  5.328    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.85e-17      0.00 7.463e-01 2.527e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.248 17.352 15.486 13.678 12.191 11.666 11.545
0.001 -1.19029 9.95424 0.1000000015 1.1711064577    0.100 -2.958  3.4930  5.320    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.58e-17      0.00 7.462e-01 2.528e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.166 17.235 15.304 13.510 12.094 11.589 11.468
0.001 -1.19029 9.95424 0.1065359935 1.2234945297    0.107 -2.860  3.5043  5.294    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-16      0.00 7.456e-01 2.534e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.919 16.884 14.827 13.073 11.818 11.355 11.237
0.001 -1.19029 9.95424 0.1199999973 1.3193154335    0.120 -2.675  3.5257  5.247    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-16      0.00 7.445e-01 2.545e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.456 16.147 13.964 12.300 11.307 10.914 10.802
0.001 -1.19029 9.95424 0.1400000006 1.4384527206    0.140 -2.494  3.5420  5.198    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.72e-16      0.00 7.432e-01 2.558e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.004 15.431 13.244 11.659 10.826 10.476 10.369
0.001 -1.19029 9.95424 0.1599999964 1.5372931957    0.160 -2.355  3.5524  5.159    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.65e-16      0.00 7.422e-01 2.568e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.658 14.902 12.742 11.210 10.466 10.140 10.037
0.001 -1.19029 9.95424 0.2000000179 1.6938792467    0.200 -2.138  3.5666  5.095    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.81e-16      0.00 7.409e-01 2.581e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.114 14.093 11.999 10.542 9.906 9.609 9.511
0.001 -1.19029 9.95424 0.2500000000 1.8403258324    0.250 -1.932  3.5779  5.032    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.11e-16      0.00 7.404e-01 2.586e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.601 13.373 11.341 9.949 9.383 9.107 9.014
0.001 -1.19029 9.95424 0.3000000417 1.9529141188    0.300 -1.774  3.5863  4.986    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-15      0.00 7.405e-01 2.585e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.205 12.820 10.844 9.505 8.981 8.719 8.630
0.001 -1.19029 9.95424 0.3499999940 2.0434174538    0.350 -1.645  3.5934  4.953    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-15      0.00 7.483e-01 2.507e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 8.883 12.373 10.440 9.146 8.653 8.403 8.317
0.001 -1.19029 9.95424 0.4000000060 2.1185026169    0.400 -1.496  3.6043  4.906    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-15      0.00 7.489e-01 2.501e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 8.511 11.821 9.950 8.727 8.273 8.041 7.960
0.001 -1.19029 9.95424 0.4500000179 2.1822810173    0.450 -1.322  3.6212  4.850    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.35e-15      0.00 7.489e-01 2.501e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 8.076 11.128 9.341 8.229 7.829 7.622 7.550
0.001 -1.19029 9.95424 0.5000000000 2.2374541759    0.500 -1.123  3.6488  4.807    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.28e-15      0.00 7.489e-01 2.501e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 7.578 10.229 8.575 7.642 7.323 7.159 7.099
0.001 -1.19029 9.95424 0.5500000715 2.2836585045    0.550 -0.911  3.6793  4.758    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.67e-15      0.00 7.750e-01 2.241e-01 1.624e-04 4.383e-05 3.976e-04 -1.000 9.001e-04 7.048 9.198 7.776 7.033 6.789 6.670 6.626
0.001 -1.19029 9.95424 0.6000000238 2.3211214542    0.600 -0.716  3.7062  4.709    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-14      0.00 7.821e-01 2.171e-01 1.579e-04 4.263e-05 3.869e-04 -1.000 8.295e-04 6.561 8.277 7.111 6.501 6.307 6.222 6.193
0.001 -1.19029 9.95424 0.6161922216 2.3317651749    0.616 -0.652  3.7161  4.696    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-14      0.00 7.846e-01 2.146e-01 1.563e-04 4.221e-05 3.831e-04 -1.000 8.249e-04 6.399 7.979 6.900 6.330 6.152 6.079 6.056
0.001 -1.19029 9.95424 0.6340360045 2.3427736759    0.634 -0.581  3.7268  4.680    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.89e-14      0.00 7.875e-01 2.116e-01 1.545e-04 4.172e-05 3.787e-04 -1.000 8.869e-04 6.223 7.665 6.674 6.147 5.986 5.925 5.908
0.001 -1.19029 9.95424 0.6499999762 2.3520355225    0.650 -0.518  3.7363  4.666    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.19e-14      0.00 7.902e-01 2.089e-01 1.528e-04 4.127e-05 3.747e-04 -1.000 9.001e-04 6.065 7.400 6.480 5.987 5.839 5.789 5.776
0.001 -1.19029 9.95424 0.6533795595 2.3539295197    0.653 -0.505  3.7381  4.662    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-14      0.00 7.909e-01 2.082e-01 1.523e-04 4.115e-05 3.736e-04 -1.000 8.983e-04 6.032 7.347 6.440 5.954 5.809 5.759 5.748
0.001 -1.19029 9.95424 0.6725171208 2.3642435074    0.672 -0.430  3.7483  4.640    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.72e-14      0.00 7.949e-01 2.042e-01 1.498e-04 4.047e-05 3.675e-04 -1.000 8.755e-04 5.844 7.052 6.215 5.767 5.638 5.599 5.592
0.001 -1.19029 9.95424 0.6895570159 2.3728752136    0.689 -0.362  3.7570  4.619    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.21e-14      0.00 7.989e-01 2.003e-01 1.473e-04 3.982e-05 3.617e-04 -1.000 8.297e-04 5.676 6.798 6.018 5.603 5.488 5.459 5.456
0.001 -1.19029 9.95424 0.6999999881 2.3779268265    0.700 -0.321  3.7622  4.605    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.57e-14      0.00 8.014e-01 1.978e-01 1.457e-04 3.939e-05 3.579e-04 -1.000 8.000e-04 5.573 6.647 5.899 5.503 5.396 5.373 5.371
0.001 -1.19029 9.95424 0.7074685097 2.3814346790    0.707 -0.291  3.7658  4.594    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -3.85e-14      0.00 8.036e-01 1.956e-01 1.440e-04 3.901e-05 3.545e-04 -1.000 8.000e-04 5.498 6.543 5.814 5.432 5.330 5.310 5.310
0.001 -1.19029 9.95424 0.7191184759 2.3867394924    0.719 -0.244  3.7713  4.576    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -4.35e-14      0.00 8.073e-01 1.919e-01 1.412e-04 3.838e-05 3.490e-04 -1.000 8.000e-04 5.379 6.380 5.681 5.319 5.225 5.210 5.213
0.001 -1.19029 9.95424 0.7302415371 2.3916232586    0.730 -0.198  3.7763  4.556    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -4.9e-14      0.00 8.111e-01 1.881e-01 1.385e-04 3.774e-05 3.433e-04 -1.000 8.000e-04 5.265 6.226 5.554 5.209 5.123 5.114 5.119
0.001 -1.19029 9.95424 0.7408752441 2.3961348534    0.741 -0.154  3.7809  4.537    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -5.51e-14      0.00 8.149e-01 1.843e-01 1.356e-04 3.708e-05 3.375e-04 -1.000 7.744e-04 5.154 6.081 5.431 5.103 5.024 5.020 5.026
0.001 -1.19029 9.95424 0.7500000000 2.3998889923    0.750 -0.115  3.7847  4.518    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -6.11e-14      0.00 8.184e-01 1.809e-01 1.331e-04 3.649e-05 3.323e-04 -1.000 7.317e-04 5.057 5.961 5.325 5.011 4.938 4.937 4.944
0.001 -1.19029 9.95424 0.7589116096 2.4034554958    0.759 -0.076  3.7879  4.498    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1  -6.8e-14      0.00 8.230e-01 1.763e-01 1.304e-04 3.575e-05 3.257e-04 -1.000 7.000e-04 4.961 5.846 5.222 4.919 4.851 4.853 4.861
0.001 -1.19029 9.95424 0.7701827288 2.4078307152    0.770 -0.026  3.7918  4.470    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -7.82e-14      0.00 8.287e-01 1.706e-01 1.271e-04 3.486e-05 3.178e-04 -1.000 7.000e-04 4.836 5.698 5.088 4.799 4.737 4.742 4.752
