# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Apr 21 18:05:32 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.001 -1.19029 9.69897 0.0900000036 1.0816895962    0.090 -3.216  3.4561  5.384    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.18e-17      0.00 7.480e-01 2.510e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.809 18.029 16.777 14.913 12.876 12.197 12.068
0.001 -1.19029 9.69897 0.0905936658 1.0873523951    0.091 -3.200  3.4584  5.380    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.38e-17      0.00 7.480e-01 2.510e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.769 17.986 16.683 14.818 12.826 12.159 12.031
0.001 -1.19029 9.69897 0.0994789079 1.1667387486    0.099 -2.973  3.4908  5.324    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.24e-17      0.00 7.475e-01 2.515e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.203 17.290 15.386 13.585 12.138 11.623 11.503
0.001 -1.19029 9.69897 0.1000000015 1.1711064577    0.100 -2.960  3.4926  5.321    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.52e-17      0.00 7.475e-01 2.515e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.171 17.244 15.318 13.523 12.101 11.594 11.473
0.001 -1.19029 9.69897 0.1128941551 1.2705951929    0.113 -2.772  3.5144  5.272    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-16      0.00 7.469e-01 2.521e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.699 16.547 14.412 12.698 11.574 11.146 11.030
0.001 -1.19029 9.69897 0.1199999973 1.3193154335    0.120 -2.677  3.5254  5.247    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-16      0.00 7.465e-01 2.525e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.462 16.158 13.976 12.310 11.313 10.920 10.807
0.001 -1.19029 9.69897 0.1400000006 1.4384527206    0.140 -2.496  3.5416  5.199    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.69e-16      0.00 7.458e-01 2.532e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.011 15.444 13.257 11.670 10.834 10.483 10.376
0.001 -1.19029 9.69897 0.1599999964 1.5372931957    0.160 -2.360  3.5520  5.162    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.6e-16      0.00 7.451e-01 2.539e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.671 14.922 12.760 11.226 10.479 10.152 10.048
0.001 -1.19029 9.69897 0.2000000179 1.6938792467    0.200 -2.149  3.5662  5.105    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.59e-16      0.00 7.442e-01 2.548e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.143 14.131 12.033 10.574 9.935 9.638 9.540
0.001 -1.19029 9.69897 0.2500000000 1.8403258324    0.250 -1.948  3.5777  5.046    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.49e-16      0.00 7.436e-01 2.554e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.639 13.417 11.383 9.989 9.420 9.144 9.051
