# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Apr 21 18:06:50 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.001 -1.19029 9.30103 0.0900000036 1.0816895962    0.090 -3.216  3.4559  5.384    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.18e-17      0.00 7.486e-01 2.504e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.811 18.031 16.783 14.919 12.879 12.198 12.069
0.001 -1.19029 9.30103 0.0901578143 1.0831996202    0.090 -3.212  3.4565  5.383    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.23e-17      0.00 7.486e-01 2.504e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.801 18.020 16.759 14.894 12.866 12.188 12.059
0.001 -1.19029 9.30103 0.0931384340 1.1110905409    0.093 -3.134  3.4677  5.364    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.3e-17      0.00 7.485e-01 2.505e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.605 17.800 16.304 14.451 12.623 12.003 11.877
0.001 -1.19029 9.30103 0.1000000015 1.1711064577    0.100 -2.962  3.4923  5.321    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.49e-17      0.00 7.484e-01 2.506e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 12.175 17.250 15.327 13.531 12.105 11.597 11.477
0.001 -1.19029 9.30103 0.1137224659 1.2764770985    0.114 -2.762  3.5154  5.269    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-16      0.00 7.482e-01 2.508e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.675 16.509 14.368 12.658 11.547 11.123 11.007
0.001 -1.19029 9.30103 0.1199999973 1.3193154335    0.120 -2.678  3.5251  5.248    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-16      0.00 7.481e-01 2.509e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.466 16.166 13.985 12.317 11.318 10.923 10.811
0.001 -1.19029 9.30103 0.1400000006 1.4384527206    0.140 -2.498  3.5414  5.200    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-16      0.00 7.477e-01 2.513e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 11.016 15.454 13.266 11.678 10.839 10.488 10.380
0.001 -1.19029 9.30103 0.1599999964 1.5372931957    0.160 -2.363  3.5517  5.164    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.57e-16      0.00 7.475e-01 2.515e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.677 14.934 12.771 11.235 10.486 10.158 10.054
0.001 -1.19029 9.30103 0.1916157901 1.6646348238    0.192 -2.196  3.5632  5.121    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.03e-16      0.00 7.472e-01 2.518e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.260 14.305 12.192 10.716 10.055 9.752 9.652
0.001 -1.19029 9.30103 0.2000000179 1.6938792467    0.200 -2.156  3.5659  5.111    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.46e-16      0.00 7.471e-01 2.519e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 10.161 14.155 12.056 10.595 9.953 9.655 9.557
0.001 -1.19029 9.30103 0.2500000000 1.8403258324    0.250 -1.963  3.5775  5.061    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.06e-16      0.00 7.467e-01 2.523e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.677 13.461 11.425 10.029 9.459 9.182 9.089
0.001 -1.19029 9.30103 0.3000000417 1.9529141188    0.300 -1.808  3.5861  5.019    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-15      0.00 7.465e-01 2.525e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 9.289 12.913 10.932 9.589 9.063 8.802 8.712
0.001 -1.19029 9.30103 0.3499999940 2.0434174538    0.350 -1.658  3.5930  4.964    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-15      0.00 7.488e-01 2.502e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 8.915 12.413 10.477 9.180 8.685 8.435 8.348
0.001 -1.19029 9.30103 0.4000000060 2.1185026169    0.400 -1.516  3.6034  4.922    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.09e-15      0.00 7.489e-01 2.501e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 8.561 11.886 10.009 8.780 8.323 8.089 8.008
0.001 -1.19029 9.30103 0.4500000179 2.1822810173    0.450 -1.350  3.6188  4.868    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.07e-15      0.00 7.489e-01 2.501e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 8.146 11.234 9.435 8.306 7.899 7.689 7.615
0.001 -1.19029 9.30103 0.5000000000 2.2374541759    0.500 -1.163  3.6434  4.826    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.72e-15      0.00 7.489e-01 2.501e-01 1.798e-04 4.851e-05 4.400e-04 -1.000 1.000e-03 7.678 10.406 8.725 7.758 7.424 7.251 7.189
0.001 -1.19029 9.30103 0.5105563998 2.2480781078    0.511 -1.122  3.6497  4.819    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.18e-15      0.00 7.501e-01 2.489e-01 1.790e-04 4.829e-05 4.380e-04 -1.000 1.000e-03 7.574 10.211 8.563 7.635 7.318 7.156 7.097
0.001 -1.19029 9.30103 0.5500000715 2.2836585045    0.550 -0.974  3.6721  4.793    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.21e-15      0.00 7.549e-01 2.441e-01 1.758e-04 4.742e-05 4.302e-04 -1.000 1.000e-03 7.205 9.480 7.992 7.205 6.947 6.817 6.769
