# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Apr 21 17:52:49 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.0001 -2.19174 10.04139 0.1000000015 1.1711064577    0.100 -2.781  3.5586  5.406    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-16      0.00 7.458e-01 2.541e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.723 15.919 13.651 12.097 11.453 11.157 11.058
0.0001 -2.19174 10.04139 0.1098214313 1.2482755184    0.109 -2.633  3.5739  5.357    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.86e-16      0.00 7.441e-01 2.558e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 11.352 15.186 13.068 11.635 11.089 10.817 10.723
0.0001 -2.19174 10.04139 0.1294642836 1.3786746264    0.129 -2.391  3.5964  5.278    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.27e-16      0.00 7.413e-01 2.586e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 10.748 14.063 12.187 10.947 10.489 10.249 10.165
0.0001 -2.19174 10.04139 0.1491071582 1.4855960608    0.149 -2.229  3.6078  5.222    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.71e-16      0.00 7.396e-01 2.603e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 10.342 13.418 11.658 10.507 10.082 9.858 9.781
0.0001 -2.19174 10.04139 0.1687500030 1.5756140947    0.168 -2.103  3.6151  5.178    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.23e-16      0.00 7.387e-01 2.612e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.027 12.957 11.267 10.172 9.765 9.552 9.478
0.0001 -2.19174 10.04139 0.2080357224 1.7204496861    0.207 -1.899  3.6261  5.110    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.71e-16      0.00 7.383e-01 2.616e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 9.517 12.238 10.650 9.632 9.252 9.055 8.987
0.0001 -2.19174 10.04139 0.2571428716 1.8581268787    0.257 -1.710  3.6361  5.053    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.44e-15      0.00 7.385e-01 2.614e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 9.045 11.586 10.085 9.132 8.776 8.594 8.531
0.0001 -2.19174 10.04139 0.3062500358 1.9652637243    0.306 -1.564  3.6445  5.017    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.92e-15      0.00 7.386e-01 2.613e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 8.680 11.079 9.649 8.745 8.408 8.237 8.179
0.0001 -2.19174 10.04139 0.3553571403 2.0521113873    0.355 -1.441  3.6523  4.991    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.44e-15      0.00 7.396e-01 2.603e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.000e-04 8.373 10.646 9.279 8.419 8.099 7.939 7.885
0.0001 -2.19174 10.04139 0.4044643044 2.1246092319    0.404 -1.321  3.6606  4.960    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.12e-15      0.00 7.501e-01 2.498e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.994e-05 8.074 10.215 8.918 8.101 7.798 7.649 7.601
